CLASS,INF,PRS.PTCP,PAST.PTCP,IMP.2SG,IMP.1PL,IMP.2PL,PRS.IND.1SG,PRS.IND.2SG,PRS.IND.3SG,PRS.IND.1PL,PRS.IND.2PL,PRS.IND.3PL,PRET.IND.1SG,PRET.IND.2SG,PRET.IND.3SG,PRET.IND.1PL,PRET.IND.2PL,PRET.IND.3PL,IMPF.IND.1SG,IMPF.IND.2SG,IMPF.IND.3SG,IMPF.IND.1PL,IMPF.IND.2PL,IMPF.IND.3PL,COND.IND.1SG,COND.IND.2SG,COND.IND.3SG,COND.IND.1PL,COND.IND.2PL,COND.IND.3PL,FUT.IND.1SG,FUT.IND.2SG,FUT.IND.3SG,FUT.IND.1PL,FUT.IND.2PL,FUT.IND.3PL,PRS.SBJV.1SG,PRS.SBJV.2SG,PRS.SBJV.3SG,PRS.SBJV.1PL,PRS.SBJV.2PL,PRS.SBJV.3PL,IMPF1.SBJV.1SG,IMPF1.SBJV.2SG,IMPF1.SBJV.3SG,IMPF1.SBJV.1PL,IMPF1.SBJV.2PL,IMPF1.SBJV.3PL,IMPF2.SBJV.1SG,IMPF2.SBJV.2SG,IMPF2.SBJV.3SG,IMPF2.SBJV.1PL,IMPF2.SBJV.2PL,IMPF2.SBJV.3PL,FUT.SBJV.1SG,FUT.SBJV.2SG,FUT.SBJV.3SG,FUT.SBJV.1PL,FUT.SBJV.2PL,FUT.SBJV.3PL
CANTAR,cantar,cantando,cantado,canta,cantemos,cantad,canto,cantas,canta,cantamos,cantáis,cantan,canté,cantaste,cantó,cantamos,cantasteis,cantaron,cantaba,cantabas,cantaba,cantábamos,cantabais,cantaban,cantaría,cantarías,cantaría,cantaríamos,cantaríais,cantarían,cantaré,cantarás,cantará,cantaremos,cantaréis,cantarán,cante,cantes,cante,cantemos,cantéis,canten,cantara,cantaras,cantara,cantáramos,cantarais,cantaran,cantase,cantases,cantase,cantásemos,cantaseis,cantasen,cantare,cantares,cantare,cantáremos,cantareis,cantaren
COMER,comer,comiendo,comido,come,comamos,comed,como,comes,come,comemos,coméis,comen,comí,comiste,comió,comimos,comisteis,comieron,comía,comías,comía,comíamos,comíais,comían,comería,comerías,comería,comeríamos,comeríais,comerían,comeré,comerás,comerá,comeremos,comeréis,comerán,coma,comas,coma,comamos,comáis,coman,comiera,comieras,comiera,comiéramos,comierais,comieran,comiese,comieses,comiese,comiésemos,comieseis,comiesen,comiere,comieres,comiere,comiéremos,comiereis,comieren
SUBIR,subir,subiendo,subido,sube,subamos,subid,subo,subes,sube,subimos,subís,suben,subí,subiste,subió,subimos,subisteis,subieron,subía,subías,subía,subíamos,subíais,subían,subiría,subirías,subiría,subiríamos,subiríais,subirían,subiré,subirás,subirá,subiremos,subiréis,subirán,suba,subas,suba,subamos,subáis,suban,subiera,subieras,subiera,subiéramos,subierais,subieran,subiese,subieses,subiese,subiésemos,subieseis,subiesen,subiere,subieres,subiere,subiéremos,subiereis,subieren
PENSAR,pensar,pensando,pensado,piensa,pensemos,pensad,pienso,piensas,piensa,pensamos,pensáis,piensan,pensé,pensaste,pensó,pensamos,pensasteis,pensaron,pensaba,pensabas,pensaba,pensábamos,pensabais,pensaban,pensaría,pensarías,pensaría,pensaríamos,pensaríais,pensarían,pensaré,pensarás,pensará,pensaremos,pensaréis,pensarán,piense,pienses,piense,pensemos,penséis,piensen,pensara,pensaras,pensara,pensáramos,pensarais,pensaran,pensase,pensases,pensase,pensásemos,pensaseis,pensasen,pensare,pensares,pensare,pensáremos,pensareis,pensaren
MOSTRAR,mostrar,mostrando,mostrado,muestra,mostremos,mostrad,muestro,muestras,muestra,mostramos,mostráis,muestran,mostré,mostraste,mostró,mostramos,mostrasteis,mostraron,mostraba,mostrabas,mostraba,mostrábamos,mostrabais,mostraban,mostraría,mostrarías,mostraría,mostraríamos,mostraríais,mostrarían,mostraré,mostrarás,mostrará,mostraremos,mostraréis,mostrarán,muestre,muestres,muestre,mostremos,mostréis,muestren,mostrara,mostraras,mostrara,mostráramos,mostrareis,mostraran,mostrase,mostrases,mostrase,mostrásemos,mostraseis,mostrasen,mostrare,mostrares,mostrare,mostráremos,mostrareis,mostraren
PERDER,perder,perdiendo,perdido,pierde,perdamos,perded,pierdo,pierdes,pierde,perdemos,perdéis,pierden,perdí,perdiste,perdió,perdimos,perdisteis,perdieron,perdía,perdías,perdía,perdíamos,perdíais,perdían,perdería,perderías,perdería,perderíamos,perderíais,perderían,perderé,perderás,perderá,perderemos,perderéis,perderán,pierda,pierdas,pierda,perdamos,perdáis,pierdan,perdiera,perdieras,perdiera,perdiéramos,perdierais,perdieran,perdiese,perdieses,perdiese,perdiésemos,perdieseis,perdiesen,perdiere,perdieres,perdiere,perdiéremos,perdiereis,perdieren
MOVER,mover,moviendo,movido,mueve,movamos,moved,muevo,mueves,mueve,movemos,movéis,mueven,moví,moviste,movió,movimos,movistes,movieron,movía,movías,movía,movíamos,movíais,movían,movería,moverías,movería,moveríamos,moveríais,moverían,moveré,moverás,moverá,moveremos,moveréis,moverán,mueva,muevas,mueva,movamos,mováis,muevan,moviera,movieras,moviera,moviéramos,movierais,movieran,moviese,movieses,moviese,moviésemos,movieseis,moviesen,moviere,movieres,moviere,moviéremos,moviereis,movieren
SENTIR,sentir,sintiendo,sentido,siente,sintamos,sentid,siento,sientes,siente,sentimos,sentís,sienten,sentí,sentiste,sintió,sentimos,sentisteis,sintieron,sentía,sentías,sentía,sentíamos,sentíais,sentían,sentiría,sentirías,sentiría,sentiríamos,sentiríais,sentirían,sentiré,sentirás,sentirá,sentiremos,sentiréis,sentirán,sienta,sientas,sienta,sintamos,sintáis,sientan,sintiera,sintieras,sintiera,sintiéramos,sintierais,sintieran,sintiese,sintieses,sintiese,sintiésemos,sintieseis,sintiesen,sintiere,sintieres,sintiere,sintiéremos,sintiereis,sintieren
PEDIR,pedir,pidiendo,pedido,pide,pidamos,pedid,pido,pides,pide,pedimos,pedís,piden,pedí,pediste,pidió,pedimos,pedisteis,pidieron,pedía,pedías,pedía,pedíamos,pedíais,pedían,pediría,pedirías,pediría,pediríamos,pediríais,pedirían,pediré,pedirás,pedirá,pediremos,pediréis,pedirán,pida,pidas,pida,pidamos,pidáis,pidan,pidiera,pidieras,pidiera,pidiéramos,pidierais,pidieran,pidiese,pidieses,pidiese,pidiésemos,pidieseis,pidiesen,pidiere,pidieres,pidiere,pidiéremos,pidiereis,pidieren
DORMIR,dormir,durmiendo,dormido,duerme,durmamos,dormid,duermo,duermes,duerme,dormimos,dormís,duermen,dormí,dormiste,durmió,dormimos,dormistes,durmieron,dormía,dormías,dormía,dormíamos,dormíais,dormían,dormiría,dormirías,dormiría,dormiríamos,dormiríais,dormirían,dormiré,dormirás,dormirá,dormiremos,dormiréis,dormirán,duerma,duermas,duerma,durmamos,durmáis,duerman,durmiera,durmieras,durmiera,durmiéramos,durmierais,durmieran,durmiese,durmieses,durmiese,durmiésemos,durmieseis,durmiesen,durmiere,durmieres,durmiere,durmiéremos,durmiereis,durmieren
